name,content
A109,"Use trusted cross border platforms which enable payments, refunds, logistics, data analytics and offer localization"
A110,"Validate how the decisions about selecting, combining and deploying the resources required to scale complement each other"
A111,"When you ask investors for money, clearly articulate: i) Why you need the money; ii) What amount you need; iii) What you are promising to return and under what conditions; iv) What you are going to do with the money to create returns for investors; and v) your governance model and the names and biographies of the people who sit on your Board of Directors and your Board of Advisors"
A112,Work with individuals and organizations that are well connected and respected in the networks which are important for the success of the company
A113,"Offer benefits to customers, investors and other key stakeholders that are important, differentiated from, and superior to, competing offerings"
A114,"Develop value propositions that enhance your customers and suppliers outcomes, marketing strategies, and competitive advantages"
A115,"Incorporate elements of value into your value propositions to consumers that address four kinds of needs - functional, emotional, life changing, and social impact."
A116,"Integrate environmental, economic, and social aspects of value into the value propositions for your key stakeholders"
A117,"Deliver high value to customers before, during, and after they use your company products or consume your company services"
A118,"Develop value propositions for employees that enhance employee satisfaction, psychological attachment, and behavioral commitment toward your company"
A119,"The required investment and the resulting most significant stakeholder benefits should be quantified in specific, measurable, attainable, relevant and time-bound terms"
A120,"Align value propositions for customers, investors and other stakeholders in a way that they support, agree with and reinforce each other"
A121,"Develop value propositions for those who pay, not just those who benefit"
A122,Develop value propositions that support or agree with the value proposition of key members of the company value chain as well as improve the competences of the supply chain
A123,Continuously find new and innovative ways to offer value to customers in existing and new markets
A124,Continuously create new markets and serve broader stakeholder needs
A125,Align investor value propositions with company scale objectives so they are mutually reinforcing rather than conflicting
A126,"Recognize what new companies that are scaling rapidly do, assimilate the lessons learned, and apply them to develop and implement your company value propositions"
A127,"Learn from value propositions of companies that have grown early, rapidly and securely and apply them to differentiate your company"
A128,"To align the value propositions for customers, investors, and resource owners, make explicit the benefits: (i) an investor gains by the presence of the customer and resource owner, (ii) a customer gains by the presence of the investor and the resource owner, and (iii) the resource owner gains by the presence of the customer and the investors"
A129,"To align value propositions for customers, investors, and resource owners, co-create a unique combination of resources that did not previously exist"
A130,"To align value propositions to all relevant stakeholders, develop an objective that benefits them all"
A131,Track changes in stakeholders value propositions over time and use the information to align them
A132,Conduct detailed due diligence when selecting investors
A133,"Find investors appropriate to company industry, risk, product introduction, timeframe, and return profile"
A134,Raise capital in stages to reduce dilution and maximize risk-adjusted prices for investors
A135,"Align communication with investors on company risks, opportunities, and economics for successful fundraising rounds"
A136,Increase investor participation by effectively managing regulatory uncertainty
A137,Provide investors with long-term liquidity to enable distribution of funds to their capital providers
A138,Implement a stakeholder centric approach to satisfy stakeholders' expectations in all markets
A139,"On entering new markets, deploy digital infrastructures capable of servicing scaleable customer bases and reconfigures compute resources allocated based upon demand"
A140,"Continuously improve company and value chain fulfillment and logistics capabilities to satisfy scaling objectives, high quality standards and minimize delivery delays"
A141,Collaborate with the company value chain to determine optimal product and services offerings that achieve customer fulfillment and enhance company value
A142,Work with partners that can Implement flexible automation for small batch production to satisfy customers
